學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定
111,國立臺灣大學,00101,中國文學系,False,6,6.0,6.0,3.0,,,頂標,前標,,前標,前標,,
111,國立臺灣大學,00102,外國語文學系,False,10,10.0,10.0,1.0,,,前標,頂標,均標,均標,前標,,A級
111,國立臺灣大學,00103,歷史學系,False,5,5.0,5.0,8.0,,,前標,前標,,均標,前標,,A級
111,國立臺灣大學,00104,哲學系,False,4,4.0,4.0,9.0,,,前標,前標,前標,前標,均標,,
111,國立臺灣大學,00104,哲學系【外加】,True,1,0.0,,,,,前標,前標,前標,前標,均標,,
111,國立臺灣大學,00105,人類學系,False,6,6.0,6.0,4.0,,,前標,前標,,均標,前標,,B級
111,國立臺灣大學,00105,人類學系【外加】,True,1,0.0,,,,,前標,前標,,均標,前標,,B級
111,國立臺灣大學,00106,圖書資訊學系,False,6,6.0,6.0,1.0,,,前標,前標,均標,均標,均標,,B級
111,國立臺灣大學,00107,日本語文學系,False,5,5.0,5.0,2.0,,,前標,前標,,均標,前標,,
111,國立臺灣大學,00108,戲劇學系,False,4,4.0,4.0,16.0,,,前標,前標,,均標,均標,,
111,國立臺灣大學,00109,地理環境資源學系,False,3,3.0,1.0,1.0,2.0,2.0,前標,前標,頂標,,前標,,
111,國立臺灣大學,00110,政治學系政治理論組,False,8,8.0,6.0,16.0,2.0,1.0,前標,前標,均標,,前標,,
111,國立臺灣大學,00111,政治學系國際關係組,False,8,8.0,8.0,1.0,,,前標,前標,均標,,前標,,
111,國立臺灣大學,00112,政治學系公共行政組,False,8,8.0,8.0,2.0,,,前標,前標,均標,,前標,,
111,國立臺灣大學,00113,經濟學系A組,False,9,9.0,6.0,14.0,3.0,1.0,,前標,頂標,,前標,,
111,國立臺灣大學,00114,社會學系,False,6,6.0,6.0,3.0,,,前標,前標,,前標,前標,,
111,國立臺灣大學,00115,社會工作學系,False,4,4.0,4.0,2.0,,,前標,前標,,均標,均標,,
111,國立臺灣大學,00116,生物產業傳播暨發展學系,False,5,5.0,5.0,2.0,,,前標,前標,,均標,前標,,
111,國立臺灣大學,00117,工商管理學系企業管理組,False,3,3.0,1.0,1.0,2.0,3.0,頂標,頂標,頂標,,前標,,
111,國立臺灣大學,00118,會計學系,False,10,10.0,6.0,4.0,4.0,2.0,頂標,頂標,頂標,,前標,,
111,國立臺灣大學,00119,財務金融學系,False,12,12.0,12.0,4.0,,,頂標,頂標,頂標,,,,
111,國立臺灣大學,00119,財務金融學系【外加】,True,1,0.0,,,,,頂標,頂標,頂標,,,,
111,國立臺灣大學,00120,國際企業學系,False,5,5.0,,,5.0,2.0,頂標,頂標,頂標,,前標,,
111,國立臺灣大學,00121,法律學系法學組,False,8,8.0,8.0,1.0,,,頂標,頂標,,前標,頂標,,
111,國立臺灣大學,00121,法律學系法學組【外加】,True,1,0.0,,,,,頂標,頂標,,前標,頂標,,
111,國立臺灣大學,00122,法律學系司法組,False,8,8.0,8.0,1.0,,,頂標,頂標,,前標,頂標,,
111,國立臺灣大學,00122,法律學系司法組【外加】,True,1,1.0,1.0,2.0,,,頂標,頂標,,前標,頂標,,
111,國立臺灣大學,00123,法律學系財經法學組,False,8,8.0,8.0,1.0,,,頂標,頂標,,前標,頂標,,
111,國立臺灣大學,00123,法律學系財經法學組【外加】,True,1,0.0,,,,,頂標,頂標,,前標,頂標,,
111,國立臺灣大學,00124,數學系,False,6,6.0,3.0,1.0,3.0,5.0,,頂標,頂標,,,頂標,
111,國立臺灣大學,00125,物理學系,False,4,4.0,2.0,4.0,2.0,4.0,頂標,頂標,頂標,,,頂標,
111,國立臺灣大學,00126,化學系,False,5,5.0,2.0,1.0,3.0,7.0,前標,頂標,頂標,,,頂標,
